TaskID,TAG,SkillLevel,YOE,ResourceCost (Annual),Time_Spent
REQ1,ProjectManager,70,4,24392,30
REQ2,ProjectManager,70,4,24392,50
REQ3,ProjectManager,70,4,24392,15
REQ4,ProjectManager,70,4,24392,50
DES1,ProjectManager,70,4,24392,60
DES2,ProjectManager,70,4,24392,20
DES3,WebDesigner,60,3,20038,400
DES4,ProjectManager,70,4,24392,65
DES5,WebDesigner,60,3,20038,180
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,80,6,29049,35
DEV2,WebDeveloper,80,6,29049,15
DEV3,WebDeveloper,80,6,29049,125
DEV4,WebDeveloper,80,6,29049,185
DEV5,WebDeveloper,80,6,29049,70
DEV6,WebDeveloper,80,6,29049,50
DEV7,WebDeveloper,80,6,29049,70
DEV8,WebDeveloper,80,6,29049,40
DEV9,WebDeveloper,80,6,29049,30
DEV10,WebConsultant,70,4,20038,340
DEV11,WebDeveloper,80,6,29049,110
DEV12,WebDeveloper,80,6,29049,120
DEV13,WebDeveloper,80,6,29049,420
DEV14,WebConsultant,70,4,20038,330
DEV15,WebConsultant,70,4,20038,260
DEV16,WebDeveloper,80,6,29049,120
DEV17,WebDeveloper,80,6,29049,130
DEV18,ProjectManager,70,4,24392,120
DEV19,WebDeveloper,80,6,29049,115
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,70,4,20038,160
TES2,WebConsultant,70,4,20038,180
TES3,WebConsultant,70,4,20038,180
TES4,WebDeveloper,80,6,29049,100
TES5,WebConsultant,70,4,20038,110
TES6,WebDeveloper,80,6,29049,105
TES7,ProjectManager,70,4,24392,115
REL1,WebDeveloper,80,6,29049,50
REL2,ProjectManager,70,4,24392,75
REL3,ProjectManager,70,4,24392,85
REL4,WebDeveloper,80,6,29049,135
REL5,ProjectManager,70,4,24392,60
REQ1,ProjectManager,70,4,24392,40
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,20
REQ4,ProjectManager,70,4,24392,70
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,15
DES3,WebDesigner,60,3,20038,380
DES4,ProjectManager,70,4,24392,55
DES5,WebDesigner,60,3,20038,150
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,50,3,24392,50
DEV2,WebDeveloper,50,3,24392,25
DEV3,WebDeveloper,50,3,24392,135
DEV4,WebDeveloper,50,3,24392,205
DEV5,WebDeveloper,50,3,24392,90
DEV6,WebDeveloper,50,3,24392,60
DEV7,WebDeveloper,50,3,24392,80
DEV8,WebDeveloper,50,3,24392,50
DEV9,WebDeveloper,50,3,24392,40
DEV10,WebConsultant,50,3,17888,380
DEV11,WebDeveloper,50,3,24392,120
DEV12,WebDeveloper,50,3,24392,130
DEV14,WebConsultant,50,3,17888,355
DEV15,WebConsultant,50,3,17888,270
DEV16,WebDeveloper,50,3,24392,120
DEV17,WebDeveloper,50,3,24392,110
DEV18,ProjectManager,70,4,24392,135
DEV19,WebDeveloper,50,3,24392,90
DEV20,ProjectManager,70,4,24392,25
TES1,WebConsultant,50,3,17888,185
TES2,WebConsultant,50,3,17888,170
TES3,WebConsultant,50,3,17888,195
TES6,WebDeveloper,50,3,24392,100
TES7,ProjectManager,70,4,24392,105
REL1,WebDeveloper,50,3,24392,50
REL5,ProjectManager,70,4,24392,60
REQ1,ProjectManager,70,4,24392,45
REQ2,ProjectManager,70,4,24392,50
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,65
DES1,ProjectManager,70,4,24392,35
DES2,ProjectManager,70,4,24392,25
DES3,WebDesigner,60,3,20038,420
DES4,ProjectManager,70,4,24392,45
DES5,WebDesigner,60,3,20038,160
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,30,1,20038,75
DEV2,WebDeveloper,30,1,20038,45
DEV3,WebDeveloper,30,1,20038,165
DEV4,WebDeveloper,30,1,20038,260
DEV5,WebDeveloper,30,1,20038,130
DEV6,WebDeveloper,30,1,20038,85
DEV7,WebDeveloper,30,1,20038,100
DEV8,WebDeveloper,30,1,20038,80
DEV9,WebDeveloper,30,1,20038,65
DEV10,WebConsultant,50,3,17888,400
DEV11,WebDeveloper,30,1,20038,165
DEV12,WebDeveloper,30,1,20038,140
DEV14,WebConsultant,50,3,17888,360
DEV15,WebConsultant,50,3,17888,250
DEV16,WebDeveloper,30,1,20038,200
DEV17,WebDeveloper,30,1,20038,155
DEV18,ProjectManager,70,4,24392,125
DEV19,WebDeveloper,30,1,20038,135
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,50,3,17888,180
TES2,WebConsultant,50,3,17888,190
TES3,WebConsultant,50,3,17888,172
TES6,WebDeveloper,30,1,20038,175
TES7,ProjectManager,70,4,24392,100
REL1,WebDeveloper,30,1,20038,100
REL5,ProjectManager,70,4,24392,55
REQ1,ProjectManager,70,4,24392,50
REQ2,ProjectManager,70,4,24392,45
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,55
DES1,ProjectManager,70,4,24392,40
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,430
DES4,ProjectManager,70,4,24392,35
DES5,WebDesigner,60,3,20038,120
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,50,3,24392,60
DEV2,WebDeveloper,50,3,24392,35
DEV3,WebDeveloper,50,3,24392,120
DEV4,WebDeveloper,50,3,24392,175
DEV5,WebDeveloper,50,3,24392,100
DEV6,WebDeveloper,50,3,24392,60
DEV7,WebDeveloper,50,3,24392,70
DEV8,WebDeveloper,50,3,24392,60
DEV9,WebDeveloper,50,3,24392,60
DEV10,WebConsultant,20,1,14664,500
DEV11,WebDeveloper,50,3,24392,115
DEV12,WebDeveloper,50,3,24392,110
DEV14,WebConsultant,20,1,14664,450
DEV15,WebConsultant,20,1,14664,295
DEV16,WebDeveloper,50,3,24392,120
DEV17,WebDeveloper,50,3,24392,120
DEV18,ProjectManager,70,4,24392,120
DEV19,WebDeveloper,50,3,24392,100
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,20,1,14664,240
TES2,WebConsultant,20,1,14664,270
TES3,WebConsultant,20,1,14664,210
TES6,WebDeveloper,50,3,24392,100
TES7,ProjectManager,70,4,24392,80
REL1,WebDeveloper,50,3,24392,55
REL5,ProjectManager,70,4,24392,60
REQ1,ProjectManager,70,4,24392,55
REQ2,ProjectManager,70,4,24392,50
REQ3,ProjectManager,70,4,24392,25
REQ4,ProjectManager,70,4,24392,60
DES1,ProjectManager,70,4,24392,35
DES2,ProjectManager,70,4,24392,25
DES3,WebDesigner,60,3,20038,410
DES4,ProjectManager,70,4,24392,40
DES5,WebDesigner,60,3,20038,110
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,80,6,29049,50
DEV2,WebDeveloper,80,6,29049,30
DEV3,WebDeveloper,80,6,29049,110
DEV4,WebDeveloper,80,6,29049,160
DEV5,WebDeveloper,80,6,29049,85
DEV6,WebDeveloper,80,6,29049,50
DEV7,WebDeveloper,80,6,29049,60
DEV8,WebDeveloper,80,6,29049,50
DEV9,WebDeveloper,80,6,29049,55
DEV10,WebConsultant,20,1,14664,480
DEV11,WebDeveloper,80,6,29049,100
DEV12,WebDeveloper,80,6,29049,110
DEV14,WebConsultant,20,1,14664,435
DEV15,WebConsultant,20,1,14664,315
DEV16,WebDeveloper,80,6,29049,110
DEV17,WebDeveloper,80,6,29049,100
DEV18,ProjectManager,70,4,24392,110
DEV19,WebDeveloper,80,6,29049,90
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,20,1,14664,270
TES2,WebConsultant,20,1,14664,250
TES3,WebConsultant,20,1,14664,240
TES6,WebDeveloper,80,6,29049,80
TES7,ProjectManager,70,4,24392,70
REL1,WebDeveloper,80,6,29049,45
REL5,ProjectManager,70,4,24392,50
REQ1,ProjectManager,70,4,24392,45
REQ2,ProjectManager,70,4,24392,45
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,55
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,430
DES4,ProjectManager,70,4,24392,35
DES5,WebDesigner,60,3,20038,150
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,30,1,20038,90
DEV2,WebDeveloper,30,1,20038,45
DEV3,WebDeveloper,30,1,20038,210
DEV4,WebDeveloper,30,1,20038,225
DEV5,WebDeveloper,30,1,20038,140
DEV6,WebDeveloper,30,1,20038,90
DEV7,WebDeveloper,30,1,20038,90
DEV8,WebDeveloper,30,1,20038,120
DEV9,WebDeveloper,30,1,20038,100
DEV10,WebConsultant,70,4,20038,355
DEV11,WebDeveloper,30,1,20038,150
DEV12,WebDeveloper,30,1,20038,160
DEV14,WebConsultant,70,4,20038,330
DEV15,WebConsultant,70,4,20038,260
DEV16,WebDeveloper,30,1,20038,180
DEV17,WebDeveloper,30,1,20038,190
DEV18,ProjectManager,70,4,24392,90
DEV19,WebDeveloper,30,1,20038,160
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,70,4,20038,200
TES2,WebConsultant,70,4,20038,180
TES3,WebConsultant,70,4,20038,160
TES6,WebDeveloper,30,1,20038,130
TES7,ProjectManager,70,4,24392,60
REL1,WebDeveloper,30,1,20038,80
REL5,ProjectManager,70,4,24392,60
REQ1,ProjectManager,70,4,24392,25
REQ2,ProjectManager,70,4,24392,50
REQ3,ProjectManager,70,4,24392,20
REQ4,ProjectManager,70,4,24392,60
DES1,ProjectManager,70,4,24392,70
DES2,ProjectManager,70,4,24392,15
DES3,WebDesigner,60,3,20038,420
DES4,ProjectManager,70,4,24392,55
DES5,WebDesigner,60,3,20038,150
DES6,ProjectManager,70,4,24392,25
DEV1,WebDeveloper,50,3,24392,50
DEV2,WebDeveloper,50,3,24392,25
DEV3,WebDeveloper,50,3,24392,140
DEV4,WebDeveloper,50,3,24392,200
DEV5,WebDeveloper,50,3,24392,90
DEV6,WebDeveloper,50,3,24392,65
DEV7,WebDeveloper,50,3,24392,85
DEV8,WebDeveloper,50,3,24392,55
DEV9,WebDeveloper,50,3,24392,50
DEV10,WebConsultant,50,3,17888,380
DEV11,WebDeveloper,50,3,24392,130
DEV12,WebDeveloper,50,3,24392,145
DEV13,WebDeveloper,50,3,24392,500
DEV14,WebConsultant,50,3,17888,380
DEV15,WebConsultant,50,3,17888,300
DEV16,WebDeveloper,50,3,24392,145
DEV17,WebDeveloper,50,3,24392,155
DEV18,ProjectManager,70,4,24392,110
DEV19,WebDeveloper,50,3,24392,170
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,50,3,17888,185
TES2,WebConsultant,50,3,17888,160
TES3,WebConsultant,50,3,17888,195
TES4,WebDeveloper,50,3,24392,160
TES5,WebConsultant,50,3,17888,195
TES6,WebDeveloper,50,3,24392,125
TES7,ProjectManager,70,4,24392,100
REL1,WebDeveloper,50,3,24392,70
REL5,ProjectManager,70,4,24392,50
REQ1,ProjectManager,70,4,24392,30
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,50
DES1,ProjectManager,70,4,24392,60
DES2,ProjectManager,70,4,24392,25
DES3,WebDesigner,60,3,20038,450
DES4,ProjectManager,70,4,24392,50
DES5,WebDesigner,60,3,20038,180
DES6,ProjectManager,70,4,24392,20
DEV1,WebDeveloper,80,6,29049,40
DEV2,WebDeveloper,80,6,29049,15
DEV3,WebDeveloper,80,6,29049,110
DEV4,WebDeveloper,80,6,29049,140
DEV5,WebDeveloper,80,6,29049,55
DEV6,WebDeveloper,80,6,29049,50
DEV7,WebDeveloper,80,6,29049,60
DEV8,WebDeveloper,80,6,29049,40
DEV9,WebDeveloper,80,6,29049,35
DEV10,WebConsultant,70,4,20038,330
DEV11,WebDeveloper,80,6,29049,100
DEV12,WebDeveloper,80,6,29049,100
DEV13,WebDeveloper,80,6,29049,380
DEV14,WebConsultant,70,4,20038,335
DEV15,WebConsultant,70,4,20038,250
DEV16,WebDeveloper,80,6,29049,110
DEV17,WebDeveloper,80,6,29049,110
DEV18,ProjectManager,70,4,24392,100
DEV19,WebDeveloper,80,6,29049,120
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,70,4,20038,145
TES2,WebConsultant,70,4,20038,135
TES3,WebConsultant,70,4,20038,180
TES4,WebDeveloper,80,6,29049,100
TES6,WebDeveloper,80,6,29049,85
TES7,ProjectManager,70,4,24392,80
REL1,WebDeveloper,80,6,29049,45
REL5,ProjectManager,70,4,24392,40
REQ1,ProjectManager,70,4,24392,50
REQ2,ProjectManager,70,4,24392,40
REQ3,ProjectManager,70,4,24392,40
REQ4,ProjectManager,70,4,24392,60
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,35
DES3,WebDesigner,60,3,20038,430
DES4,ProjectManager,70,4,24392,40
DES5,WebDesigner,60,3,20038,125
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,30,1,20038,90
DEV2,WebDeveloper,30,1,20038,60
DEV3,WebDeveloper,30,1,20038,180
DEV4,WebDeveloper,30,1,20038,270
DEV5,WebDeveloper,30,1,20038,120
DEV6,WebDeveloper,30,1,20038,100
DEV7,WebDeveloper,30,1,20038,90
DEV8,WebDeveloper,30,1,20038,80
DEV9,WebDeveloper,30,1,20038,80
DEV10,WebConsultant,20,1,14664,455
DEV11,WebDeveloper,30,1,20038,170
DEV12,WebDeveloper,30,1,20038,130
DEV14,WebConsultant,20,1,14664,420
DEV15,WebConsultant,20,1,14664,300
DEV16,WebDeveloper,30,1,20038,190
DEV17,WebDeveloper,30,1,20038,180
DEV18,ProjectManager,70,4,24392,115
DEV19,WebDeveloper,30,1,20038,120
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,20,1,14664,270
TES2,WebConsultant,20,1,14664,240
TES3,WebConsultant,20,1,14664,210
TES6,WebDeveloper,30,1,20038,180
TES7,ProjectManager,70,4,24392,100
REL1,WebDeveloper,30,1,20038,110
REL5,ProjectManager,70,4,24392,50
REQ1,ProjectManager,70,4,24392,50
REQ2,ProjectManager,70,4,24392,45
REQ3,ProjectManager,70,4,24392,30
REQ4,ProjectManager,70,4,24392,55
DES1,ProjectManager,70,4,24392,30
DES2,ProjectManager,70,4,24392,30
DES3,WebDesigner,60,3,20038,400
DES4,ProjectManager,70,4,24392,35
DES5,WebDesigner,60,3,20038,180
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,80,6,29049,60
DEV2,WebDeveloper,80,6,29049,40
DEV3,WebDeveloper,80,6,29049,100
DEV4,WebDeveloper,80,6,29049,150
DEV5,WebDeveloper,80,6,29049,90
DEV6,WebDeveloper,80,6,29049,60
DEV7,WebDeveloper,80,6,29049,45
DEV8,WebDeveloper,80,6,29049,55
DEV9,WebDeveloper,80,6,29049,45
DEV10,WebConsultant,70,4,20038,325
DEV11,WebDeveloper,80,6,29049,110
DEV12,WebDeveloper,80,6,29049,100
DEV14,WebConsultant,70,4,20038,420
DEV15,WebConsultant,70,4,20038,245
DEV16,WebDeveloper,80,6,29049,120
DEV17,WebDeveloper,80,6,29049,110
DEV18,ProjectManager,70,4,24392,100
DEV19,WebDeveloper,80,6,29049,80
DEV20,ProjectManager,70,4,24392,30
TES1,WebConsultant,70,4,20038,200
TES2,WebConsultant,70,4,20038,195
TES3,WebConsultant,70,4,20038,190
TES6,WebDeveloper,80,6,29049,60
TES7,ProjectManager,70,4,24392,60
REL1,WebDeveloper,80,6,29049,50
REL5,ProjectManager,70,4,24392,60
REQ1,ProjectManager,70,4,24392,40
REQ2,ProjectManager,70,4,24392,55
REQ3,ProjectManager,70,4,24392,35
REQ4,ProjectManager,70,4,24392,55
DES1,ProjectManager,70,4,24392,35
DES2,ProjectManager,70,4,24392,35
DES3,WebDesigner,60,3,20038,390
DES4,ProjectManager,70,4,24392,45
DES5,WebDesigner,60,3,20038,140
DES6,ProjectManager,70,4,24392,30
DEV1,WebDeveloper,50,3,24392,70
DEV2,WebDeveloper,50,3,24392,45
DEV3,WebDeveloper,50,3,24392,110
DEV4,WebDeveloper,50,3,24392,160
DEV5,WebDeveloper,50,3,24392,110
DEV6,WebDeveloper,50,3,24392,50
DEV7,WebDeveloper,50,3,24392,80
DEV8,WebDeveloper,50,3,24392,70
DEV9,WebDeveloper,50,3,24392,65
DEV10,WebConsultant,50,3,17888,420
DEV11,WebDeveloper,50,3,24392,120
DEV12,WebDeveloper,50,3,24392,120
DEV14,WebConsultant,50,3,17888,380
DEV15,WebConsultant,50,3,17888,245
DEV16,WebDeveloper,50,3,24392,130
DEV17,WebDeveloper,50,3,24392,110
DEV18,ProjectManager,70,4,24392,110
DEV19,WebDeveloper,50,3,24392,110
DEV20,ProjectManager,70,4,24392,40
TES1,WebConsultant,50,3,17888,195
