day,assignment_id,resource_id,task_id,project_id,estimated_time
1,0,SGK,REQ1,1,0:43:00
1,1,SGK,REQ2,1,0:47:00
1,2,SGK,REQ3,1,0:27:00
1,3,SGK,REQ4,1,0:56:00
1,4,SGK,DES1,1,0:43:00
1,5,SGK,DES2,1,0:26:00
1,6,GEO,DES3,1,7:01:00
1,7,SGK,DES4,1,0:47:00
1,8,SGK,REQ1,2,0:43:00
1,9,SGK,REQ2,2,0:47:00
1,10,SGK,REQ3,2,0:27:00
1,11,SGK,REQ4,2,0:56:00
2,0,GEO,DES5,1,2:35:00
2,1,SGK,DES6,1,0:28:00
2,2,TDS,DEV1,1,0:46:00
2,3,TDS,DEV2,1,0:23:00
2,4,TDS,DEV3,1,1:12:00
2,5,TDS,DEV4,1,2:42:00
2,6,TDS,DEV6,1,0:53:00
2,7,SGI,DEV10,1,5:10:00
2,8,TDS,DEV11,1,1:48:00
2,9,SGK,DEV18,1,1:52:00
2,10,FLD,DEV19,1,2:04:00
2,11,SGK,DEV20,1,0:32:00
2,12,JMK,TES1,1,3:06:00
2,13,JMK,TES3,1,3:04:00
2,14,FLD,TES6,1,1:52:00
2,15,SGK,TES7,1,1:27:00
2,16,FLD,REL1,1,1:03:00
2,17,SGK,REL5,1,0:54:00
2,18,SGK,DES1,2,0:43:00
2,19,SGK,DES2,2,0:26:00
2,20,SGK,REQ1,3,0:43:00
2,21,SGK,REQ2,3,0:47:00
3,0,GEO,DES3,2,7:01:00
3,1,SGK,DES4,2,0:47:00
3,2,SGK,REQ3,3,0:27:00
3,3,SGK,REQ4,3,0:56:00
3,4,SGK,DES1,3,0:43:00
3,5,SGK,DES2,3,0:26:00
3,6,SGK,REQ1,4,0:43:00
3,7,SGK,REQ2,4,0:47:00
3,8,SGK,REQ3,4,0:27:00
3,9,SGK,REQ4,4,0:56:00
3,10,SGK,DES1,4,0:43:00
3,11,SGK,DES2,4,0:26:00
4,0,GEO,DES5,2,2:35:00
4,1,SGK,DES6,2,0:28:00
4,2,TDS,DEV1,2,0:46:00
4,3,TDS,DEV2,2,0:23:00
4,4,TDS,DEV3,2,1:12:00
4,5,TDS,DEV4,2,2:42:00
4,6,TDS,DEV6,2,0:53:00
4,7,TDS,DEV7,2,1:01:00
